"","date","AU","CA","DK","IS","JP","NZ","NO","SE","CH","GB","US","AT","BE","FI","FR","DE","GR","IE","IT","LU","NL","PT","ES","CN","HK","IN","ID","KR","MY","PH","SG","TH","CO","MX","BG","HR","CZ","EE","HU","LV","LT","PL","RO","SK","SI","IL","RU","ZA","TR","AR","BR","CL","PE","RS"
"1",1996 Q1,1.33171209155248,1.17937596910046,2.22385896382632,NA,NA,NA,1.11756693276462,0.994509445902709,4.10233073212938,1.75930708032477,1.71738247442333,NA,0.784319235823101,0.632065694012597,NA,NA,NA,0.838786802377212,NA,NA,1.20341845374488,NA,0.668477711419408,NA,1.22822057899753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937047869264198,NA,0.0883090190841818,NA,NA,NA,NA
"2",1996 Q2,1.34387439677986,1.19811058741984,2.201224885113,NA,NA,NA,1.14701308938016,1.01593283861946,4.16360645142337,1.74517534112627,1.70882432028682,NA,0.796511208951792,0.630447713843836,NA,NA,NA,0.854622017244837,NA,NA,1.23688319778589,NA,0.68409461854503,NA,1.26222813339518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934153189435036,NA,0.0882746741103948,NA,NA,NA,NA
"3",1996 Q3,1.3757529731842,1.2075596498761,2.20624043729629,NA,NA,NA,1.14775060133822,1.00947544935185,4.20241923497526,1.74417615007326,1.71622992350641,NA,0.804336321097439,0.636000313455058,NA,NA,NA,0.887227538543328,NA,NA,1.26756602358292,NA,0.691949661190617,NA,1.27445739403753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95626581137611,NA,0.0897183249220239,NA,NA,NA,NA
"4",1996 Q4,1.39261918082934,1.22578648506441,2.23973011477261,NA,NA,NA,1.22305773204604,1.02198069800275,4.22241620180146,1.75047902084229,1.7134226010315,NA,0.806208805755708,0.618448637316562,NA,NA,NA,0.87492773174022,NA,NA,1.31584253457496,NA,0.707520689826246,NA,1.30017294959807,NA,NA,NA,0.355071268226726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965058952223094,NA,0.090763129476146,NA,NA,NA,NA
"5",1997 Q1,1.41515262805418,1.23196608418154,2.23161428937471,NA,NA,NA,1.22586532525055,1.01551047065628,4.23484253329089,1.75632413277023,1.71259186626329,NA,0.807530375639812,0.607909989771565,NA,NA,NA,0.871498664679213,NA,NA,1.3615748362225,NA,0.718742611869499,NA,1.34797884073093,NA,NA,NA,0.362327130987149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.969628858680511,NA,0.0927511309652621,NA,NA,NA,NA
"6",1997 Q2,1.42393067561779,1.24712427426849,2.24998583334301,NA,NA,NA,1.23227413184162,1.01036310356728,4.25132655129639,1.75994162869554,1.70536883129079,NA,0.809270070097774,0.593554032375675,NA,NA,NA,0.860515651612145,NA,NA,1.39981253937343,NA,0.74793531364738,NA,1.41592014169905,NA,NA,NA,0.377441489001933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970651292987004,NA,0.0960668850644595,NA,NA,NA,NA
"7",1997 Q3,1.45946963622037,1.30864059535056,2.29565335952373,NA,NA,NA,1.2987117975308,1.00994461840412,4.21279268650623,1.72778166260484,1.71630742946853,NA,0.813406821009377,0.611320889142206,NA,NA,NA,0.901261098229938,NA,NA,1.42776548921493,NA,0.777876052203715,NA,1.52284256701497,NA,NA,NA,0.392787715083691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974491451686293,NA,0.0943402760871384,NA,NA,NA,NA
"8",1997 Q4,1.46589203615546,1.31713322277992,2.3182428092104,NA,NA,NA,1.31454632794877,1.0091598264465,4.21706430404136,1.76266880264327,1.71311011989642,NA,0.815385500731399,0.599979196283069,NA,NA,NA,0.912963860612915,NA,NA,1.42456061640186,NA,0.805044776855298,NA,1.56807210348116,NA,NA,NA,0.39114855781069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977273040202458,NA,0.101729053382158,NA,NA,NA,NA
"9",1998 Q1,1.49513043947447,1.30614346757119,2.36721881080087,NA,NA,NA,1.37746599634214,1.0132748050576,4.19988934139309,1.75778791531092,1.71859922178988,NA,0.815793399618549,0.601326858628001,NA,NA,NA,0.922084731543624,NA,NA,1.4850600363241,NA,0.831323056576829,NA,1.64000233556185,NA,NA,NA,0.429744262924462,NA,0.827498836999387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994682640448829,NA,0.112002329194464,NA,NA,NA,NA
"10",1998 Q2,1.538022457474,1.33222327341504,2.45024201104715,NA,NA,1.98996608482621,1.40444685285404,1.0164205213377,4.19008531595033,1.76657703902876,1.73389879260176,NA,0.879026287666703,0.607091534939679,NA,NA,NA,0.922991128010139,NA,NA,1.52071406356617,NA,0.866520759580312,NA,1.71197884991259,NA,NA,NA,0.454181048026137,NA,0.849777142435198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986316546687039,NA,0.116999231632354,NA,NA,NA,NA
"11",1998 Q3,1.55282884873353,1.33858715425035,2.45306149351615,NA,NA,2.00078222423761,1.42950553720689,1.03149511687423,4.2113517285646,1.77939532838115,1.73875519400072,NA,0.866802560488389,0.621978814809956,NA,NA,NA,0.908742147412842,NA,NA,1.56073985744193,NA,0.883545570653455,NA,1.7748922418775,NA,NA,NA,0.463353775807701,NA,0.878262546203769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00289598118004,NA,0.125808360185195,NA,NA,NA,NA
"12",1998 Q4,1.57046403697321,1.33811237367485,2.47572496800585,NA,NA,2.0104535373697,1.4556013044478,1.03132865445807,4.31134792815827,1.75734970962172,1.74626296535399,NA,0.875819325086939,0.638946751725036,NA,NA,NA,0.974177949709865,NA,NA,1.60368799819525,NA,0.890085795098461,NA,1.8504519918332,NA,NA,NA,0.482500696311396,NA,0.912736126703744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999033607724586,NA,0.129998635493591,NA,NA,NA,NA
