"","date","state_AU","AU","state_CA","CA","state_DK","DK","state_IS","IS","state_JP","JP","state_NZ","NZ","state_NO","NO","state_SE","SE","state_CH","CH","state_GB","GB","state_US","US","state_AT","AT","state_BE","BE","state_FI","FI","FR","state-FR","state_DE","DE","state_GR","GR","state_IE","IE","state_IT","IT","state_LU","LU","state_NL","NL","state_PT","PT","state_ES","ES","CN","state-CN","state_HK","HK","state_IN","IN","state_ID","ID","state_KR","KR","MY","state-MY","state_PH","PH","SG","state-SG","state_TH","TH","CO","state-CO","MX","state-MX","state_BG","BG","state_HR","HR","CZ","state-CZ","state_EE","EE","state_HU","HU","state_LV","LV","state_LT","LT","state_PL","PL","state_RO","RO","SK","state-SK","state_SI","SI","IL","state-IL","SA","state-SA","state_AE","AE","state_RU","RU","state_ZA","ZA","state_TR","TR","state_AR","AR","state_BR","BR","CL","state-CL","state_PE","PE","state_RS","RS"
"11",1982 Q3,-1,11.3153942160322,-1,11.2867392110834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0257633598288,-1,12.4425484010649,1,11.9934864376954,-1,14.6359393241973,NA,NA,-1,10.5279346709855,NA,NA,NA,NA,NA,NA,1,8.71720534525334,NA,NA,NA,NA,NA,NA,NA,NA,1,8.73864291662626,NA,NA,NA,NA,1,10.9230472150772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,11.9762461890029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1982 Q4,-1,11.3001525680474,-1,11.276321696498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0294333097643,1,12.4535256172477,1,12.0360092265421,1,14.6466724265082,NA,NA,1,10.5479377577574,NA,NA,NA,NA,NA,NA,1,8.7509034158051,NA,NA,NA,NA,NA,NA,NA,NA,1,8.7915752688262,NA,NA,NA,NA,1,10.9601461100758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,11.9678276341377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1983 Q1,1,11.3007639410673,1,11.285431025167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0282300142338,1,12.4704368712325,1,12.0755018270808,1,14.6425734952659,NA,NA,-1,10.5407012656999,NA,NA,NA,NA,NA,NA,-1,8.70806516554495,NA,NA,NA,NA,NA,NA,NA,NA,1,8.78559111129566,NA,NA,NA,NA,1,11.0537436815191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.985120003542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1983 Q2,1,11.3022058605076,1,11.3003336315106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0377419940116,1,12.481935806645,1,12.1040397816843,1,14.6564871776172,NA,NA,-1,10.5252052906588,NA,NA,NA,NA,NA,NA,-1,8.67792667184574,NA,NA,NA,NA,NA,NA,NA,NA,1,8.80339423552825,NA,NA,NA,NA,1,11.0992449137272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.018054306245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1983 Q3,1,11.3118397209155,1,11.314814188338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0436147486649,1,12.4951532892822,1,12.1415306537639,1,14.676371114552,NA,NA,-1,10.5037502437902,NA,NA,NA,NA,NA,NA,1,8.73439700116583,NA,NA,NA,NA,NA,NA,NA,NA,1,8.80459254146691,NA,NA,NA,NA,1,11.1381917516697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.0661011078827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1983 Q4,1,11.3123164715703,1,11.3272026856609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0469114765767,1,12.5047824166188,1,12.1706551340489,1,14.6935853768813,NA,NA,-1,10.4963443091841,NA,NA,NA,NA,NA,NA,1,8.76666734809594,NA,NA,NA,NA,NA,NA,NA,NA,-1,8.79579602342378,NA,NA,NA,NA,1,11.1258172032047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1082074293826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1984 Q1,1,11.3482196470528,1,11.3382801717256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0461136596697,1,12.511391372844,1,12.2042581427016,1,14.7069702815677,NA,NA,-1,10.4826672352227,NA,NA,NA,NA,NA,NA,1,8.76883196474414,NA,NA,NA,NA,NA,NA,NA,NA,-1,8.78114132654586,NA,NA,NA,NA,1,11.1608073850486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1450563577586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1984 Q2,1,11.3791275022555,1,11.3660408067245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0495113375847,1,12.5229028159969,1,12.2313537739289,1,14.7251994969119,NA,NA,-1,10.4730440780462,NA,NA,NA,NA,NA,NA,1,8.76143800597345,NA,NA,NA,NA,NA,NA,NA,NA,1,8.79219946029002,NA,NA,NA,NA,1,11.1864555246179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1532742578021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1984 Q3,1,11.3980137784782,1,11.3822118027447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0604416267998,1,12.5405121908617,1,12.2715177248149,1,14.7426109408898,NA,NA,-1,10.4598059912405,NA,NA,NA,NA,NA,NA,1,8.78980195597831,NA,NA,NA,NA,NA,NA,NA,NA,1,8.82590529438194,NA,NA,NA,NA,1,11.2001779125825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1663200914958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1984 Q4,1,11.4271420494904,1,11.3844563174465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,13.0603085813119,1,12.5523311032381,1,12.2986137306258,1,14.7612101991084,NA,NA,-1,10.4610982971021,NA,NA,NA,NA,NA,NA,1,8.79338439605232,NA,NA,NA,NA,NA,NA,NA,NA,1,8.87329237355542,NA,NA,NA,NA,1,11.2334531061686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1664017251602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
