"","date","RPP_AU","RPP_CA","RPP_DK","RPP_IS","RPP_JP","RPP_NZ","RPP_NO","RPP_SE","RPP_CH","RPP_GB","RPP_US","RPP_AT","RPP_BE","RPP_FI","RPP_FR","RPP_DE","RPP_GR","RPP_IE","RPP_IT","RPP_LU","RPP_NL","RPP_PT","RPP_ES","RPP_CN","RPP_HK","RPP_IN","RPP_ID","RPP_KR","RPP_MY","RPP_PH","RPP_SG","RPP_TH","RPP_CO","RPP_MX","RPP_BG","RPP_HR","RPP_CZ","RPP_EE","RPP_HU","RPP_LV","RPP_LT","RPP_PL","RPP_RO","RPP_SK","RPP_SI","RPP_IL","RPP_RU","RPP_ZA","RPP_TR","RPP_AR","RPP_BR","RPP_CL","RPP_PE","RPP_RS"
"1",1996 Q1,4.97384557551754,4.87048813649659,4.96864630101764,NA,NA,NA,4.95253341102983,4.76294240909444,4.6864604176826,4.88847763197767,4.96413892597831,NA,4.87738709972673,4.83202612738379,NA,NA,NA,5.01039156125492,NA,NA,4.9511804406221,NA,4.99910693993903,NA,4.69432148599447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48871385788664,NA,5.53237660982742,NA,NA,NA,NA
"2",1996 Q2,4.9786942100495,4.88382663937857,4.98359601429351,NA,NA,NA,4.98965688662763,4.76957428846288,4.68189436063106,4.87907021822303,4.96144497186462,NA,4.8889680692845,4.86211408601102,NA,NA,NA,5.01907354783242,NA,NA,4.97888102855056,NA,4.99524970150698,NA,4.71445005673513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47766334481472,NA,5.53372741626867,NA,NA,NA,NA
"3",1996 Q3,4.97926417761776,4.86845038871592,5.01050698576983,NA,NA,NA,5.0035941818128,4.79194568134311,4.6791810653808,4.91663600121855,4.96152905883656,NA,4.90270238361548,4.89463559486889,NA,NA,NA,5.11995255848656,NA,NA,5.01147546447394,NA,4.99121757577818,NA,4.7328403591282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46056991512581,NA,5.49322196080388,NA,NA,NA,NA
"4",1996 Q4,4.98033730010842,4.8681923704227,5.04435292959774,NA,NA,NA,5.02053647052865,4.79111215764356,4.64841075610022,4.92740541676008,4.96071000141726,NA,4.90639940252658,4.93319324813284,NA,NA,NA,5.1259973046418,NA,NA,5.02515243229846,NA,4.98812065560007,NA,4.81058554299391,NA,NA,NA,5.07778801899425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44793025246352,NA,5.48379257229662,NA,NA,NA,NA
"5",1997 Q1,4.98757819416724,4.87435095157941,5.06700338493221,NA,NA,NA,5.0256265387751,4.80780834094058,4.63818298102319,4.94082886056076,4.96211375712731,NA,4.86072796216251,5.00134077502435,NA,NA,NA,5.13094297029206,NA,NA,5.05306491178378,NA,4.98547080044163,NA,4.97570947273267,NA,NA,NA,5.08340877737615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43333731833105,NA,5.48098340106218,NA,NA,NA,NA
"6",1997 Q2,5.00347427975588,4.89627549778554,5.08425549014453,NA,NA,NA,5.09056657934269,4.83593951902314,4.6277950084842,4.95154280038685,4.96807966447219,NA,4.89909081811055,5.02630489864633,NA,NA,NA,5.17650470670901,NA,NA,5.07387171097807,NA,4.99182285715526,NA,5.04579375319159,NA,NA,NA,5.083762292618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44490249632261,NA,5.49120232790542,NA,NA,NA,NA
"7",1997 Q3,5.02584501768357,4.87609960014498,5.10033437915545,NA,NA,NA,5.09567624729047,4.85354888515202,4.62928751665389,4.99715315125836,4.97643587712716,NA,4.9204981075094,5.03711607030021,NA,NA,NA,5.24359687753678,NA,NA,5.09648132700973,NA,4.99015778837891,NA,5.04732666746523,NA,NA,NA,5.05795231816713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47955424522128,NA,5.49524277420606,NA,NA,NA,NA
"8",1997 Q4,5.04198922220407,4.87556005551629,5.10724001543201,NA,NA,NA,5.10386590726598,4.84776159245018,4.6177196149359,4.98570746404869,4.98776671391186,NA,4.92426200083739,5.05619265643075,NA,NA,NA,5.30808074618218,NA,NA,5.10962935696351,NA,4.99105260868284,NA,4.99404009601363,NA,NA,NA,5.00491454054811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52379373840802,NA,5.49562233208867,NA,NA,NA,NA
"9",1998 Q1,5.06342242570482,4.8606774294586,5.12431049290302,NA,NA,NA,5.13498169128642,4.88803094334492,4.62026133281382,5.01232780869506,5.00266753029862,NA,4.93380865820751,5.08469413663243,NA,NA,NA,5.3457017687676,NA,NA,5.131846962176,NA,4.99139482409696,NA,4.83563908163152,NA,NA,NA,4.9639361330381,NA,4.47312340506776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54226820078788,NA,5.48393001276471,NA,NA,NA,NA
"10",1998 Q2,5.07900476318217,4.86670387001211,5.15682363897197,NA,NA,5.02315355574491,5.19084809991447,4.91736861802044,4.61514251940509,5.05356866266933,5.01252692055739,NA,4.93126400955782,5.10283717314386,NA,NA,NA,5.3537249098901,NA,NA,5.1506257556511,NA,5.01007875373062,NA,4.71055834222565,NA,NA,NA,4.91419663954423,NA,4.39098637604535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.547712558366,NA,5.48367911522231,NA,NA,NA,NA
