"","date","AU","CA","DK","IS","JP","NZ","NO","SE","CH","GB","US","AT","BE","FI","FR","DE","GR","IE","IT","LU","NL","PT","ES","CN","HK","IN","ID","KR","MY","PH","SG","TH","CO","MX","BG","HR","CZ","EE","HU","LV","LT","PL","RO","SK","SI","IL","SA","AE","RU","ZA","TR","AR","BR","CL","PE","RS"
"14",1983 Q2,11.3022058605076,11.3003336315106,NA,NA,NA,NA,NA,13.0377419940116,12.481935806645,12.1040397816843,14.6564871776172,NA,10.5252052906588,NA,NA,NA,8.67792667184574,NA,NA,NA,NA,8.80339423552825,NA,NA,11.0992449137272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.018054306245,NA,NA,NA,NA,NA,NA
"15",1983 Q3,11.3118397209155,11.314814188338,NA,NA,NA,NA,NA,13.0436147486649,12.4951532892822,12.1415306537639,14.676371114552,NA,10.5037502437902,NA,NA,NA,8.73439700116583,NA,NA,NA,NA,8.80459254146691,NA,NA,11.1381917516697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0661011078827,NA,NA,NA,NA,NA,NA
"16",1983 Q4,11.3123164715703,11.3272026856609,NA,NA,NA,NA,NA,13.0469114765767,12.5047824166188,12.1706551340489,14.6935853768813,NA,10.4963443091841,NA,NA,NA,8.76666734809594,NA,NA,NA,NA,8.79579602342378,NA,NA,11.1258172032047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1082074293826,NA,NA,NA,NA,NA,NA
"17",1984 Q1,11.3482196470528,11.3382801717256,NA,NA,NA,NA,NA,13.0461136596697,12.511391372844,12.2042581427016,14.7069702815677,NA,10.4826672352227,NA,NA,NA,8.76883196474414,NA,NA,NA,NA,8.78114132654586,NA,NA,11.1608073850486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1450563577586,NA,NA,NA,NA,NA,NA
"18",1984 Q2,11.3791275022555,11.3660408067245,NA,NA,NA,NA,NA,13.0495113375847,12.5229028159969,12.2313537739289,14.7251994969119,NA,10.4730440780462,NA,NA,NA,8.76143800597345,NA,NA,NA,NA,8.79219946029002,NA,NA,11.1864555246179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1532742578021,NA,NA,NA,NA,NA,NA
"19",1984 Q3,11.3980137784782,11.3822118027447,NA,NA,NA,NA,NA,13.0604416267998,12.5405121908617,12.2715177248149,14.7426109408898,NA,10.4598059912405,NA,NA,NA,8.78980195597831,NA,NA,NA,NA,8.82590529438194,NA,NA,11.2001779125825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1663200914958,NA,NA,NA,NA,NA,NA
"20",1984 Q4,11.4271420494904,11.3844563174465,NA,NA,NA,NA,NA,13.0603085813119,12.5523311032381,12.2986137306258,14.7612101991084,NA,10.4610982971021,NA,NA,NA,8.79338439605232,NA,NA,NA,NA,8.87329237355542,NA,NA,11.2334531061686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1664017251602,NA,NA,NA,NA,NA,NA
"21",1985 Q1,11.4554752215191,11.3943839438976,NA,NA,NA,NA,NA,13.0525427419003,12.5542456865363,12.323067039735,14.803323886685,NA,10.4430813663373,NA,NA,NA,8.77845236264639,NA,NA,NA,NA,8.90402557398357,NA,NA,11.2675950556994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1742294991486,NA,NA,NA,NA,NA,NA
"22",1985 Q2,11.4751502515883,11.4164954430183,NA,NA,NA,NA,NA,13.0529008074949,12.5695995111371,12.3375208741633,14.820061876923,NA,10.4341144954072,NA,NA,NA,8.77774331399504,NA,NA,NA,NA,8.92958672115976,NA,NA,11.3323605702142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1515544325398,NA,NA,NA,NA,NA,NA
"23",1985 Q3,11.4930915348499,11.4578268102296,NA,NA,NA,NA,NA,13.069239206737,12.5947493891288,12.3789467002969,14.8558363378368,NA,10.4304010482744,NA,NA,NA,8.80920020127977,NA,NA,NA,NA,8.98238194472368,NA,NA,11.4015582540622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1599231920423,NA,NA,NA,NA,NA,NA
"24",1985 Q4,11.5104780253303,11.4952513021372,NA,NA,NA,NA,NA,13.0723528499871,12.6091300341508,12.4146748184898,14.8806470366152,NA,10.4445451750818,NA,NA,NA,8.75689522909051,NA,NA,NA,NA,9.01596444804629,NA,NA,11.4388211381169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1607546685867,NA,NA,NA,NA,NA,NA
"25",1986 Q1,11.5138690108424,11.5142095324359,NA,NA,NA,NA,NA,13.1135007787118,12.6277990614379,12.4462695325622,14.896754019503,NA,10.4475780466127,NA,NA,NA,8.74317430296673,NA,NA,NA,NA,9.01244878923297,NA,NA,11.4729043266628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1385406893823,NA,NA,NA,NA,NA,NA
"26",1986 Q2,11.5164455770708,11.5433988624516,NA,NA,NA,NA,NA,13.1623634152921,12.652443063985,12.4788022704952,14.931468657052,NA,10.4543146978591,NA,NA,NA,8.735287781817,NA,NA,NA,NA,9.05054547757825,NA,NA,11.5327814858172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1416669706233,NA,NA,NA,NA,NA,NA
